,Role_Toastmaster,Personal_Values_Facet_Cont_PowerDominance
0,0.530886685,0.356303593
1,0.349459256,0.34167488
2,0.5556175879999999,0.3627913679999999
3,0.329683641,0.350920732
4,0.330916947,0.325093486
5,0.4693263079999999,0.3429508089999999
6,0.510937416,0.319987802
7,0.25595412,0.344265925
8,0.35019483,0.358555425
9,0.601269431,0.35727234
10,0.6041420279999999,0.34354002
11,0.476452714,0.345643343
12,0.354756455,0.346856293
13,0.531028003,0.34288204
14,0.3867327,0.341434023
15,0.333937482,0.338718636
16,0.509805837,0.340265836
17,0.42569146,0.336302693
18,0.5596786460000001,0.340429296
19,0.605269315,0.335774299
20,0.598947279,0.362739926
21,0.278860386,0.343461909
22,0.382439025,0.336648886
23,0.336080499,0.33451092
24,0.529491607,0.322911733
25,0.267049622,0.333999746
26,0.4427635279999999,0.33739516
27,0.545562444,0.348772162
28,0.467059576,0.344240276
29,0.581178056,0.3366895479999999
30,0.421858289,0.342582295
31,0.257481448,0.336656742
32,0.448068904,0.343352876
33,0.601269431,0.35727234
34,0.5422289570000001,0.337561769
35,0.645237315,0.332308365
36,0.46715852,0.358234546
37,0.654598205,0.339214809
38,0.304743553,0.328205354
39,0.457494474,0.349414669
40,0.390237166,0.3490498429999999
41,0.7698805329999999,0.335359027
42,0.447618937,0.343080796
43,0.4905143839999999,0.3393544429999999
44,0.558773077,0.335423457
45,0.585737607,0.346715984
46,0.556146389,0.330631036
47,0.528492185,0.351348758
48,0.619394976,0.336611612
49,0.212676513,0.339593099
50,0.663667809,0.344657204
51,0.422814271,0.333668235
52,0.569715812,0.347484746
53,0.6781334529999999,0.349944594
54,0.643394119,0.3597634179999999
55,0.398904369,0.35070667
56,0.5435430689999999,0.334288866
57,0.637935275,0.328804421
58,0.435830703,0.330099313
59,0.625114217,0.351382705
60,0.545125772,0.338607032
61,0.593656111,0.320229384
62,0.673284313,0.362360242
63,0.619436978,0.321795111
64,0.3571639689999999,0.329173614
65,0.304249921,0.333113491
66,0.7182636609999999,0.349264161
67,0.556669969,0.334652677
68,0.576446339,0.340574901
69,0.432099251,0.34309201
70,0.421810945,0.3374457389999999
71,0.236726668,0.33249331
72,0.601906211,0.338978681
73,0.1624983009999999,0.3362594379999999
74,0.1624983009999999,0.3362594379999999
75,0.375935761,0.341774089
76,0.389784959,0.336091972
77,0.56192138,0.345500786
78,0.6669932279999999,0.328417086
79,0.449834567,0.344733401
80,0.317113301,0.341413915
81,0.656593767,0.3426392479999999
82,0.527454475,0.3249486119999999
83,0.574825558,0.313982068
84,0.551597252,0.345836605
85,0.462267042,0.345918943
86,0.579043888,0.326137506
87,0.399823346,0.33256651
88,0.471716378,0.346243839
89,0.568518689,0.338695845
90,0.5907294479999999,0.33877957
91,0.427781818,0.3426936779999999
92,0.553202089,0.344601477
93,0.312015503,0.336079973
94,0.670038987,0.330591955
95,0.6018969120000001,0.322769423
96,0.297608184,0.335960164
97,0.40544552,0.347141689
98,0.586291853,0.333138689
99,0.305574299,0.339613328
100,0.590805405,0.327450617
101,0.505797515,0.337690117
102,0.517137894,0.358939134
103,0.646037934,0.357338424
104,0.454589362,0.346243184
105,0.492386735,0.33980851
106,0.4102727879999999,0.354138248
107,0.412697681,0.335920325
108,0.704167922,0.329093292
109,0.690586688,0.321853887
110,0.549916169,0.336304172
111,0.463635357,0.331788076
112,0.499425771,0.33379694
113,0.332470594,0.343609028
114,0.438758377,0.336491192
115,0.522861855,0.331326241
116,0.317447425,0.350486467
117,0.706166608,0.335270528
118,0.586050622,0.353326145
119,0.66993995,0.342378486
120,0.73970016,0.3398986189999999
121,0.704197045,0.35744739
122,0.457691856,0.356814192
123,0.454568406,0.3540041379999999
124,0.566115314,0.331629985
125,0.65707321,0.346163049
126,0.527091314,0.368779155
127,0.423691746,0.33702949
128,0.28084731,0.3389725229999999
129,0.588033889,0.34384028
130,0.742077145,0.3463064979999999
131,0.7004568659999999,0.333587331
132,0.466128439,0.339197504
133,0.519941175,0.3363347889999999
134,0.367262732,0.3502262779999999
135,0.623735358,0.349863666
136,0.566154795,0.354395882
137,0.649884461,0.340929826
138,0.631413989,0.3542922329999999
139,0.249886628,0.333239581
140,0.613841969,0.3572433929999999
141,0.573306757,0.335787675
142,0.583154101,0.339720843
143,0.35539858,0.3294995189999999
144,0.409917761,0.346570137
145,0.490059425,0.331968365
146,0.650080722,0.336714229
147,0.478800989,0.331250467
148,0.536295558,0.334756088
149,0.459775412,0.332795639
150,0.701071745,0.350916774
151,0.4909554779999999,0.343125403
152,0.594060285,0.336888873
153,0.4984889079999999,0.3435449539999999
154,0.601269431,0.35727234
155,0.281782786,0.342158578
156,0.4692179489999999,0.326435659
157,0.442806456,0.3369205529999999
158,0.4450295529999999,0.328856899
159,0.515381556,0.335561312
160,0.318009063,0.332194805
161,0.349625507,0.345742597
162,0.388801297,0.338974204
163,0.55073202,0.355255997
164,0.6055704129999999,0.341392541
165,0.365439977,0.341315667
166,0.734563929,0.345896557
167,0.414781087,0.350573866
168,0.330948282,0.349212666
169,0.402939656,0.339555391
170,0.649281484,0.353432681
171,0.6095322320000001,0.35100289
172,0.287213831,0.346939406
173,0.4284192779999999,0.3414547029999999
174,0.491712862,0.325656625
175,0.7035214609999999,0.337438939
176,0.553251484,0.337560003
177,0.622581088,0.335385948
178,0.327273482,0.329168223
179,0.621662795,0.340843831
180,0.248237829,0.345487228
181,0.34914235,0.349527886
182,0.425061061,0.334081132
183,0.568578452,0.322299031
184,0.485749504,0.3440521479999999
